"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"CLICK_TYPE","クリック種別","ClickType","clickType","ENUM","false","[IS_SELF_ACTION]","Segment","メイン広告,クイックリンク,電話番号,その他","Ad,QuickLinks,PhoneCalls,Other",
"DEVICE","デバイス","Device","device","ENUM","false",,"Segment","PC,フルブラウザ搭載の携帯端末,フルブラウザ搭載のタブレット端末,その他","Computers,Mobile devices with full browsers,Tablets with full browsers,Other",
"DAY","日","Day","day","STRING","false",,"Segment","","",
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","false",,"Segment","日曜日,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,その他","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Other",
"QUARTER","四半期","Quarter","quarter","STRING","false",,"Segment","","",
"YEAR","年間","Year","year","STRING","false",,"Segment","","",
"MONTH","毎月","Month","month","STRING","false",,"Segment","","",
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false",,"Segment","1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,その他","January,February,March,April,May,June,July,August,September,October,November,December,Other",
"WEEK","毎週","Week","week","STRING","false",,"Segment","","",
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM","false","[ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPS]","Segment","購入/販売,お申し込み,販売促進,主要なページの閲覧,その他","Purchase / Sales,Application,Sales promotion,Page Access,Other",
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","false","[ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPS]","Segment","","",
"IS_SELF_ACTION","当該の広告表示オプションとその他","Is Self Action","isSelfAction","ENUM","false","[CLICK_TYPE]","Segment","当該の広告表示オプション,その他","This extension,Other",
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. Value Per Cost","convValuePerCost","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"ALL_CONV_VALUE_PER_COST","すべてのコンバージョンの価値/コスト","All Conv. Value Per Cost","allConvValuePerCost","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"SITELINK_FEED_ITEM_LINE1","クイックリンク説明文1","QuickLink Description 1","sitelinkFeedItemLine1","STRING","true",,"Attribute","","",
"SITELINK_FEED_ITEM_LINE2","クイックリンク説明文2","QuickLink Description 2","sitelinkFeedItemLine2","STRING","true",,"Attribute","","",
