"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"CLICK_TYPE","クリック種別","ClickType","clickType","ENUM","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, BUDGET_LOST_IMPRESSION_SHARE, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, QUALITY_LOST_IMPRESSION_SHARE, SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_ABSOLUTE_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_TOP_IMPRESSION_SHARE, SEARCH_TOP_IMPRESSION_SHARE, TOP_IMPRESSION_PERCENTAGE]","Segment","電話番号,クイックリンク,広告,その他","PhoneCalls,QuickLinks,Ad,Other",""
"DEVICE","デバイス","Device","device","ENUM","[INVALID_CLICKS, INVALID_CLICK_RATE]","Segment","PC,スマートフォン,タブレット,その他","PC,Smartphone,Tablet,Other",""
"DAY","日","Day","day","STRING","","Segment","","",""
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","","Segment","月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,その他","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Other",""
"QUARTER","四半期","Quarter","quarter","STRING","","Segment","","",""
"YEAR","年間","Year","year","STRING","","Segment","","",""
"MONTH","毎月","Month","month","STRING","[MONTH_OF_YEAR]","Segment","","",""
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, ALL_CONV_VALUE_PER_COST, BUDGET_LOST_IMPRESSION_SHARE, CONVERSIONS, CONV_RATE, CONV_VALUE, CONV_VALUE_PER_COST, COST_PER_ALL_CONV, COST_PER_CONV, EXACT_MATCH_IMPRESSION_SHARE, IMPRESSION_SHARE, INVALID_CLICKS, INVALID_CLICK_RATE, MONTH, QUALITY_LOST_IMPRESSION_SHARE, SEARCH_BUDGET_LOST_TOP_IMPRESSION_SHARE, SEARCH_RANK_LOST_TOP_IMPRESSION_SHARE, SEARCH_TOP_IMPRESSION_SHARE, TOP_IMPRESSION_PERCENTAGE, VALUE_PER_ALL_CONV, VALUE_PER_CONV]","Segment","1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,その他","January,February,March,April,May,June,July,August,September,October,November,December,Other",""
"WEEK","毎週","Week","week","STRING","","Segment","","",""
"HOUR_OF_DAY","時間","Hour of day","hourofday","LONG","[CROSS_DEVICE_CONVERSIONS, EXACT_MATCH_IMPRESSION_SHARE, INVALID_CLICKS, INVALID_CLICK_RATE]","Segment","","",""
