"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","false",,"Segment","月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,その他","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Other",
"QUARTER","四半期","Quarter","quarter","STRING","false",,"Segment","","",
"YEAR","年間","Year","year","STRING","false",,"Segment","","",
"MONTH","毎月","Month","month","STRING","false","[MONTH_OF_YEAR]","Segment","","",
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, AD_KEYWORD_ID, ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, ALL_CONV_VALUE_PER_COST, CONVERSIONS, CONV_RATE, CONV_VALUE, CONV_VALUE_PER_COST, COST_PER_ALL_CONV, COST_PER_CONV, MONTH, TOP_IMPRESSION_PERCENTAGE, VALUE_PER_ALL_CONV, VALUE_PER_CONV]","Segment","1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,その他","January,February,March,April,May,June,July,August,September,October,November,December,Other",
"WEEK","毎週","Week","week","STRING","false",,"Segment","","",
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Objective of Conversion Tracking","objectiveOfConversionTracking","ENUM","false","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPS, TOP_IMPRESSION_PERCENTAGE]","Segment","購入/販売,販売促進,見積もりのリクエスト,予約,お申し込み,架電,連絡先,カートに追加,決済の開始,定期購入,実店舗に来店,実店舗で購入,主要なページの閲覧,ルート・乗換案内,見込み客のフォーム送信,ダウンロード,タグの発火,離脱クリック,データのインポート,その他","Purchase / Sales,Sales promotion,Request a quote,Reservation,Application,Phone call leads,Contact,Add to cart,Begin checkout,Subscription,Store visits,Store sales,Page Access,Route / transfer information,Form submission by prospect,Download,Engagements,Withdrawal click,Imported leads,Other",
"CONVERSION_NAME","コンバージョン名","Conversion Name","conversionName","STRING","false","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPS, TOP_IMPRESSION_PERCENTAGE]","Segment","","",
"AD_KEYWORD_ID","キーワードID","Keyword ID","adKeywordID","LONG","false","[MONTH_OF_YEAR]","Segment","","",
"TITLE1","タイトル1","Title1","title1","STRING","true",,"Attribute","","",
