"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"BID_MULTIPLIER_OF_TARGET_PAGE_LOCATION","入札価格調整（検索結果ページの目標掲載位置）","Bidding Adjustment (Target position in search results)","biddingAdjustmentOfTargetPositionInSearchResults","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"LIMITED_BUDGETS","キャンペーン予算による制限（検索結果ページの目標掲載位置）","Limit by Campaign Budget (Target position in search results)","limitByCampaignBudgetOfTargetPositionInSearchResults","ENUM","true",,"Attribute","引き上げる,引き上げない,その他","Increase,Not increase,Other",
"LOW_QUALITY_KEYWORDS","品質が低いキーワード（検索結果ページの目標掲載位置）","Low Quality Keyword (Target position in search results)","lowQualityKeywordOfTargetPositionInSearchResults","ENUM","true",,"Attribute","引き上げる,引き上げない,その他","Increase,Not increase,Other",
"UPPER_BID_LIMIT_OF_TARGET_PAGE_LOCATION","入札価格の上限（検索結果ページの目標掲載位置）","Bid Limit (Target position in search results)","bidLimitForTargetPositionInSearchResults","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"TARGET_CPA","コンバージョン単価の目標値","Target CPA","targetCpa","DOUBLE","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"UPPER_BID_LIMIT_OF_TARGET_CPA","入札価格の上限（コンバージョン単価の目標値）","Bid Limit (Target CPA)","bidLimitForTargetCpa","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"LOWER_BID_LIMIT_OF_TARGET_CPA","入札価格の下限（コンバージョン単価の目標値）","Lower Bid Limit (Target CPA)","lowerBidLimitForTargetCpa","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"TARGET_ROAS","広告費用対効果の目標値","Target ROAS","targetRoas","DOUBLE","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"UPPER_BID_LIMIT_OF_TARGET_ROAS","入札価格の上限（広告費用対効果の目標値）","Bid Limit (Target ROAS)","bidLimitForTargetRoas","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"LOWER_BID_LIMIT_OF_TARGET_ROAS","入札価格の下限（広告費用対効果の目標値）","Lower Bid Limit (Target ROAS)","lowerBidLimitForTargetRoas","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"UPPER_BID_LIMIT_OF_MAXIMIZE_CLICKS","入札価格の上限（クリック数の最大化）","Bid Limit (Maximize Clicks)","bidLimitForMaximizeClicks","LONG","true",,"Attribute","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"CROSS_DEVICE_CONVERSIONS","デバイスをまたいだコンバージョン数","Conversions across devices","crossDeviceConversions","DOUBLE","true","[HOUR_OF_DAY]","Metric","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
"DEVICE","デバイス","Device","device","ENUM","false",,"Segment","PC,フルブラウザ搭載の携帯端末,フルブラウザ搭載のタブレット端末,その他","Computers,Mobile devices with full browsers,Tablets with full browsers,Other",
"DAY","日","Day","day","STRING","false",,"Segment","","",
"DAY_OF_WEEK","曜日","Day of week","dayOfWeek","ENUM","false",,"Segment","日曜日,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,その他","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Other",
"QUARTER","四半期","Quarter","quarter","STRING","false",,"Segment","","",
"YEAR","年間","Year","year","STRING","false",,"Segment","","",
"MONTH","毎月","Month","month","STRING","false","[MONTH_OF_YEAR]","Segment","","",
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","false","[ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, ALL_CONV_VALUE_PER_COST, CONVERSIONS, CONV_RATE, CONV_VALUE, CONV_VALUE_PER_COST, COST_PER_ALL_CONV, COST_PER_CONV, MONTH, VALUE_PER_ALL_CONV, VALUE_PER_CONV]","Segment","1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,その他","January,February,March,April,May,June,July,August,September,October,November,December,Other",
"WEEK","毎週","Week","week","STRING","false",,"Segment","","",
"HOUR_OF_DAY","時間","Hour of day","hourofday","LONG","false","[CROSS_DEVICE_CONVERSIONS]","Segment","","",
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. Value Per Cost","convValuePerCost","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
"ALL_CONV_VALUE_PER_COST","すべてのコンバージョンの価値/コスト","All Conv. Value Per Cost","allConvValuePerCost","DOUBLE","true","[MONTH_OF_YEAR]","Metric","","",
